"ID","Full name","First names","Surname now","Surname at birth","Gender","Deceased","Mother ID","Mother name","Father ID","Father name","Partner ID","Partner name","Ex-partner IDs","Birth year","Birth month","Birth day","Death year","Death month","Death day","Email","Website","Blog","Photo site","Home tel","Work tel","Mobile","Skype","Address","Other contact","Birth place","Death place","Burial place","Burial year","Burial month","Burial day","Profession","Company","Interests","Activities","Bio notes",
"LGQMC","Jacqueline BOUVIER","Jacqueline","","BOUVIER","F","Y","LGN2U","Janet LEE","WG8D6","John Vernou BOUVIER","YFZWP","John Fitzgerald KENNEDY","U85IL","1929","7","28","1994","5","19","","","","","","","","","","","Southampton, Long Island, NY","NYC, NY","Arlington National, VA","1994","5","23","","","","","<img src=""http://www.jacqueslowe.com/html/photographs/jackie/images/Jacky01bw.jpg"" border=1>Before marrying JFK, Jackie worked as a photo journalist in Washington DC.While dating JFK, Jackie did not want him to know that she was not rich and think that she was only marrying him for his money. So, she went to great lengths to appear rich.She was said to be the only First Lady to resemble royalty. She shunned the media and never publicly discussed the assassination of JFK, how she felt about it, or the alleged affairs of her first husband.",
"LGN2U","Janet LEE","Janet","","LEE","F","","","","","","YBWOI","Hugh ACHINCLOSS","WG8D6","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"YP839","Jean Ann KENNEDY","Jean Ann","","KENNEDY","F","","RTPH6","Rose FITZGERALD","NBOBP","Joseph Patrick KENNEDY","RY759","Stephen Edward SMITH","","1928","2","","","","","","","","","","","","","","","Boston, MA","","","","","","","","","","",
"WNHO7","Johanna KENNEDY","Johanna","","KENNEDY","F","","OB651","","NSYK0","Patrick KENNEDY","R8RBR","Humphrey MAHONEY","","1852","12","4","","","","","","","","","","","","","","","","","","","","","","","","",
"PR7Q5","John KENNEDY","John","","KENNEDY","M","Y","OB651","","NSYK0","Patrick KENNEDY","","","","1854","1","4","1855","9","24","","","","","","","","","","","Boston, MA","","","","","","","","","","",
"LQKY9","John F. FITZGERALD","John F.","","FITZGERALD","M","","","","","","F8KWG","Josephine Mary HANNON","","","","","","","","","","","","","","","","","","","","","","","","Mayor","","","","He was known as ""Honey Fitz"".",
"EVSTO","John Fitzgerald KENNEDY","John Fitzgerald","","KENNEDY","M","","LGQMC","Jacqueline BOUVIER","YFZWP","John Fitzgerald KENNEDY","","","","1960","11","25","","","","","","","","","","","","","","Washington, DC","","","","","","","","","","",
"YFZWP","John Fitzgerald KENNEDY","John Fitzgerald","","KENNEDY","M","Y","RTPH6","Rose FITZGERALD","NBOBP","Joseph Patrick KENNEDY","LGQMC","Jacqueline BOUVIER","","1917","5","29","1963","11","22","","","","","","","","","","","Brookline, MA","Dallas, TX","Arlington National, VA","1963","11","25","Senator","","","","<img src=""http://www.jacqueslowe.com/html/photographs/jfk/images/jfkp52bw.jpg"" border=1>In 1960 he became President of the United States.He wrote 2 books, including ""Profiles in Courage"", which won him a Pulitzer Prize.He had personal finances that were estimated to be around $10 million while in the Presidency.He was assassinated in Dallas, TX.",
"E3PCB","John T. CAULFIELD","John T.","","CAULFIELD","M","","","","","","OKRGO","Margaret KENNEDY","","","","","","","","","","","","","","","","","","","","","","","","Clerk","","","","",
"WG8D6","John Vernou BOUVIER","John Vernou","","BOUVIER","M","Y","","","","","","","LGN2U","","","","1957","8","","","","","","","","","","","","","Lennox Hill Hosp., NY","St. Philomena's Cemetery, NY","","","","","","","","He was known as ""Black Jack.""He was known to drink alcohol excessively.",
"XKG52","Joseph Patrick KENNEDY","Joseph Patrick","","KENNEDY","M","","GDFNM","Ethel SKAKEL","KWJO9","Robert Francis KENNEDY","","","","1952","","","","","","","","","","","","","","","","","","","","","","","","","","",
"XHBCL","Joseph Patrick KENNEDY","Joseph Patrick","","KENNEDY","M","Y","RTPH6","Rose FITZGERALD","NBOBP","Joseph Patrick KENNEDY","","","","1915","7","","1944","8","2","","","","","","","","","","","Boston, MA","Suffolk, England","","","","","","","","","Joseph Patrick was well liked, quick to smile, and had a tremendous dose of Irish charm.He enlisted in the Navy during World War II, and died during a naval flight.He was known as Jack.",
"NBOBP","Joseph Patrick KENNEDY","Joseph Patrick","","KENNEDY","M","Y","HLPIX","Mary Augusta HICKEY","Q0JT6","Patrick Joseph KENNEDY","RTPH6","Rose FITZGERALD","","1888","9","6","1969","11","18","","","","","","","","","","","Boston, MA","Hyannis Port, MA","Holyhood Cemetery, Brookline, MA ","","","","Bank President, Ambassador","","","","From the time he was a school boy he was interested in making money.He had an interesting hobby of tinkering with clocks.Joe was a poor student, but good at athletics and had an attractive personality. He was able to overcome many ethnic barriers during his school years at Boston Latin, a protestant and primarily Yankee school.Was one of the youngest Bank Presidents in US history. He was fiercely proud of his family. He was quoted as having said his family was the finest thing in his life. ",
"F8KWG","Josephine Mary HANNON","Josephine Mary","","HANNON","F","","","","","","LQKY9","John F. FITZGERALD","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"TFL09","Kara Ann KENNEDY","Kara Ann","","KENNEDY","F","","HA1H6","Virginia Joan BENNETT","UT8MC","Edward Moore KENNEDY","","","","1960","3","","","","","","","","","","","","","","","","","","","","","","","","","",
"S2FW3","Kathleen KENNEDY","Kathleen","","KENNEDY","F","Y","RTPH6","Rose FITZGERALD","NBOBP","Joseph Patrick KENNEDY","A58UZ","William John Robert CAVENDISH","","1920","","","1948","5","13","","","","","","","","","","","Boston, MA","France","","","","","","","","","Died in an airplane crash with her lover in France three years after her older brother Joseph's death.Served with the Red Cross in England during the war.",
"R59SU","Kathleen Hartington KENNEDY","Kathleen Hartington","","KENNEDY","F","","GDFNM","Ethel SKAKEL","KWJO9","Robert Francis KENNEDY","","","","1951","7","4","","","","","","","","","","","","","","","","","","","","","","","","",
"TARKI","Laurence KANE","Laurence","","KANE","M","","","","","","YPTHV","Mary KENNEDY","","","","","","","","","","","","","","","","","","","","","","","","Teamster","","","","",
"O6BRM","Lee BOUVIER","Lee","","BOUVIER","F","","LGN2U","Janet LEE","WG8D6","John Vernou BOUVIER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"CFWKU","Loretta KENNEDY","Loretta","","KENNEDY","F","","HLPIX","Mary Augusta HICKEY","Q0JT6","Patrick Joseph KENNEDY","","","","1892","","","","","","","","","","","","","","","","Boston, MA","","","","","","","","","","",
"VVVEH","Margaret KENNEDY","Margaret","","KENNEDY","F","","HLPIX","Mary Augusta HICKEY","Q0JT6","Patrick Joseph KENNEDY","UCMSZ","Charles BURKE","","1898","","","","","","","","","","","","","","","","","","","","","","","","","","",
"OKRGO","Margaret KENNEDY","Margaret","","KENNEDY","F","","OB651","","NSYK0","Patrick KENNEDY","E3PCB","John T. CAULFIELD","","1855","7","18","","","","","","","","","","","","","","Boston, MA","","","","","","","","","","",
"JMHL7","Maria SHRIVER","Maria","","SHRIVER","F","","HDZZK","Eunice Mary KENNEDY","AE4OF","Robert Sargent SHRIVER","VGULL","Arnold SCHWARZENEGGER","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"NC1NQ","Mark Kennedy SHRIVER","Mark Kennedy","","SHRIVER","M","","HDZZK","Eunice Mary KENNEDY","AE4OF","Robert Sargent SHRIVER","","","","1964","2","","","","","","","","","","","","","","","Washington, DC","","","","","","","","","","",
"YPTHV","Mary KENNEDY","Mary","","KENNEDY","F","","OB651","","NSYK0","Patrick KENNEDY","TARKI","Laurence KANE","","1851","8","9","","","","","","","","","","","","","","Boston, MA","","","","","","","","","","",
"HLPIX","Mary Augusta HICKEY","Mary Augusta","","HICKEY","F","Y","","","","","Q0JT6","Patrick Joseph KENNEDY","","","","","1923","","","","","","","","","","","","","","","","","","","","","","","",
"DYFND","Mary Courtney KENNEDY","Mary Courtney","","KENNEDY","F","","GDFNM","Ethel SKAKEL","KWJO9","Robert Francis KENNEDY","","","","1955","","","","","","","","","","","","","","","","","","","","","","","","","","",
"O95TS","Mary Kerry KENNEDY","Mary Kerry","","KENNEDY","F","","GDFNM","Ethel SKAKEL","KWJO9","Robert Francis KENNEDY","","","","1958","","","","","","","","","","","","","","","","","","","","","","","","","","",
"PQ3OB","Matthew Maxwell Taylor KENNEDY","Matthew Maxwell Taylor","","KENNEDY","M","","GDFNM","Ethel SKAKEL","KWJO9","Robert Francis KENNEDY","","","","1965","1","9","","","","","","","","","","","","","","New York","","","","","","","","","","",
"DWHLA","Michael L. KENNEDY","Michael L.","","KENNEDY","M","","GDFNM","Ethel SKAKEL","KWJO9","Robert Francis KENNEDY","","","","1957","","","","","","","","","","","","","","","","","","","","","","","","","","",
"RGFJS","Patricia KENNEDY","Patricia","","KENNEDY","F","","RTPH6","Rose FITZGERALD","NBOBP","Joseph Patrick KENNEDY","","","WK9N9","1924","5","6","","","","","","","","","","","","","","Boston, MA","","","","","","","","","","Was a help to her brother John F. during his political campaigns.",
"NSYK0","Patrick KENNEDY","Patrick","","KENNEDY","M","Y","","","","","","","OB651","1823","","","1858","11","22","","","","","","","","","","","Dunganstown, Ireland","Boston, MA","","","","","Cooper, Ward Boss","","","","The potato famine of 1845-48, plagued the country of Ireland and pushed many Irishmen to flee to the land of promise, the USA. Patrick Kennedy was among those to leave his home in Wexford County, Ireland, in 1848, in hopes of finding a betterlife in the US. Once he arrived in the US, he settled in East Boston, where he remained for the rest of his life.Upon Patrick's arrival in Boston, he immediately became involved in politics. He was known as a Ward Boss in Boston, looking out for the other Irish immigrants and trying to improve the conditions in the community.",
"C94OX","Patrick Bouvier KENNEDY","Patrick Bouvier","","KENNEDY","M","Y","LGQMC","Jacqueline BOUVIER","YFZWP","John Fitzgerald KENNEDY","","","","1963","8","7","1963","8","9","","","","","","","","","","","Otis Air Force B, Mass","Boston, Mass","","","","","","","","","",
"CRNNB","Patrick Joseph KENNEDY","Patrick Joseph","","KENNEDY","M","","HA1H6","Virginia Joan BENNETT","UT8MC","Edward Moore KENNEDY","","","","1963","8","","","","","","","","","","","","","","","","","","","","","","","","","",
"Q0JT6","Patrick Joseph KENNEDY","Patrick Joseph","","KENNEDY","M","Y","OB651","","NSYK0","Patrick KENNEDY","HLPIX","Mary Augusta HICKEY","","1858","1","14","1929","5","","","","","","","","","","","","Boston, MA","","","","","","Dockhand, Saloonkeeper, Senator, Bank President","","","","As a young man, Patrick dropped out of school to work on the docks of Boston.Patrick was able to work his way from being a SaloonKeeper to becoming a Ward Boss, helping out other Irish immigrants. His popularity  rose and at the age of thirty he had become a power in Boston politics. In 1892 and 1893 he was elected tothe Massachusetts Senate.Patrick later became a very successful businessman getting into wholesale liquor sales, owning a coal company and becoming the president of a bank.His personality was mild-mannered, quiet and reserved, and he was viewed as a man of moderate habits.",
"WK9N9","Peter LAWFORD","Peter","","LAWFORD","M","","","","","","","","RGFJS","1923","9","7","","","","","","","","","","","","","","","","","","","","","","","","",
"KWJO9","Robert Francis KENNEDY","Robert Francis","","KENNEDY","M","Y","RTPH6","Rose FITZGERALD","NBOBP","Joseph Patrick KENNEDY","GDFNM","Ethel SKAKEL","","1925","11","20","1968","6","6","","","","","","","","","","","Boston, MA","Los Angeles, CA","Arlington National, VA","1968","6","8","","","","","Robert Francis was assassinated in California during his 1968 presidential campaign.He was very dedicated to his children and every evening had prayers with them, each of them saying the Rosary.",
"VR3U4","Robert Francis KENNEDY","Robert Francis","","KENNEDY","M","","GDFNM","Ethel SKAKEL","KWJO9","Robert Francis KENNEDY","","","","1953","","","","","","","","","","","","","","","","","","","","","","","","","","",
"AE4OF","Robert Sargent SHRIVER","Robert Sargent","","SHRIVER","M","","","","","","HDZZK","Eunice Mary KENNEDY","","1915","11","9","","","","","","","","","","","","","","Westminster, MD","","","","","","","","","","1972 was the vice presidential candidate.",
"QWSYY","Robert Sargent SHRIVER","Robert Sargent","","SHRIVER","M","","HDZZK","Eunice Mary KENNEDY","AE4OF","Robert Sargent SHRIVER","","","","1954","","","","","","","","","","","","","","","","","","","","","","","","","","",
"FLC18","Robin LAWFORD","Robin","","LAWFORD","F","","RGFJS","Patricia KENNEDY","WK9N9","Peter LAWFORD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"J7UTL","Rory Elizabeth KENNEDY","Rory Elizabeth","","KENNEDY","F","","GDFNM","Ethel SKAKEL","KWJO9","Robert Francis KENNEDY","","","","1968","12","12","","","","","","","","","","","","","","Washington, DC","","","","","","","","","","",
"RTPH6","Rose FITZGERALD","Rose","","FITZGERALD","F","Y","F8KWG","Josephine Mary HANNON","LQKY9","John F. FITZGERALD","NBOBP","Joseph Patrick KENNEDY","","1890","7","22","1995","1","22","","","","","","","","","","","North End, Boston, MA","Hyannis Port, MA ","Holyhood Cemetery, Brookline, MA ","1995","1","25","","","","","She was considered the flower of Boston Irish society.She graduated from high school, one of the three highest in a class of 285. She was then sent to finish school in Europe for two years.She was courted by some of the finest young men, not only Boston's Irish, but members of the English nobility as well.She was very dedicated to her family, which was evident by the strong support she gave her sons in their political campaigns.",
"M5SF2","Rosemary KENNEDY","Rosemary","","KENNEDY","F","","RTPH6","Rose FITZGERALD","NBOBP","Joseph Patrick KENNEDY","","","","1918","9","","","","","","","","","","","","","","","Boston, MA","","","","","","","","","","She was born severely mentally retarded. For years her parents were ashamed of her and never told anyone about her problems.In 1946 her father gave $600,000 for the construction of the Joseph P. Kennedy Jr. Convalescent Home for disadvantaged children, because of Rosemary's condition.",
"MIPK4","Stephen SMITH","Stephen","","SMITH","M","","YP839","Jean Ann KENNEDY","RY759","Stephen Edward SMITH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"RY759","Stephen Edward SMITH","Stephen Edward","","SMITH","M","","","","","","YP839","Jean Ann KENNEDY","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"PA0NO","Sydney LAWFORD","Sydney","","LAWFORD","F","","RGFJS","Patricia KENNEDY","WK9N9","Peter LAWFORD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"XAZCW","Timothy SHRIVER","Timothy","","SHRIVER","M","","HDZZK","Eunice Mary KENNEDY","AE4OF","Robert Sargent SHRIVER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"UV8RY","Victoria LAWFORD","Victoria","","LAWFORD","F","","RGFJS","Patricia KENNEDY","WK9N9","Peter LAWFORD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"HA1H6","Virginia Joan BENNETT","Virginia Joan","","BENNETT","F","","","","","","UT8MC","Edward Moore KENNEDY","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"A58UZ","William John Robert CAVENDISH","William John Robert","","CAVENDISH","M","Y","","","","","S2FW3","Kathleen KENNEDY","","1917","12","10","1944","9","10","","","","","","","","","","","","Belgium","","","","","","","","","",
"T5LUK","William Kennedy SMITH","William Kennedy","","SMITH","M","","YP839","Jean Ann KENNEDY","RY759","Stephen Edward SMITH","","","","1960","9","","","","","","","","","","","","","","","Boston, MA","","","","","","","","","","",
"OB651","","","","","","","","","","","","","NSYK0","","","","","","","","","","","","","","","","","","","","","","","","","","","",
